Page ID,Page Name,Disclaimer,Amount Spent (USD)
105929991030423,My Freedom Jersey,"My Freedom Jersey, LLP",1776
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,1766
118303441570966,Home Ownership Matters,NATIONAL ASSOCIATION OF REALTORS,1764
108118933908193,Next Level Goods,Next Level Goods LLC,1756
296708523873754,Karla Dennis and Associates Inc.,"Karla Dennis & Associates, Inc",1744
706716899745696,Women for Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",1742
117622166310266,Kathy Swan,Friends of Kathy Swan,1737
1353297398108180,Jeff Shawan for Missouri,Friends of Jeff Shawan,1737
1916108188466958,Elad Gross For Missouri,Elad Gross For Missouri,1728
2190200147671191,The Balance of Power,Jorge Hernando,1726
21834534343,Volunteers of America,"VOLUNTEERS OF AMERICA, INC.",1721
321250352104571,Valerie Plame,VALERIE PLAME FOR CONGRESS,1704
118514606128,Sam Graves,Office of Congressman Sam Graves,1696
2197543200459333,One Country Project,One Country Inc,1691
100256754899828,Patriot's Cave,Patriots Cave,1689
109294377239663,Savings and Good Living,Sonny Quang Nguyen,1682
303680192977564,Andrew Koenig,"Friends of Andrew Koenig, Brooke Koenig, Treasurer",1679
124955570892789,Bernie Sanders,BERNIE 2020,1656
342887442508723,Convention of States,Convention of States Action,1645
113842443643787,QuickConcealed,QuickConcealed.com,1639
121626482110,Operation Smile,"OPERATION SMILE, INC.",1635
1917715138510680,Follow Your Legend,Legend Bracelet,1622
101724361319410,Ronny Jackson for U.S. Congress TX-13,Texans for Ronny Jackson,1605
505251996227959,Jack Bondon,Bondon for Missouri,1595
8934429638,Planned Parenthood Action,Planned Parenthood Votes,1590
72931140459,Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",1588
106744830786874,Boone County Counts,City of Columbia,1586
1055873511190792,Hello Resistance,Hello Resistance Apparel,1585
2012750189007245,Liquid Death Mountain Water,Liquid Death,1551
111001597165583,Brandon Wilkinson for US Congress,Missouri for Brandon Wilkinson,1531
53541257714,The Arc of the United States,"ARC OF THE UNITED STATES, INC., THE",1522
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,1507
137569740231452,Respect The Look,Respect The Look,1501
107761702578379,American Institute for Cancer Research - AICR,American Institute for Cancer Research,1494
