Page ID,Page Name,Disclaimer,Amount Spent (USD)
102592959026,Ocean Conservancy,"OCEAN CONSERVANCY, INC.",1201
1934191280189700,Health Care Voter,Health Care Voter,1182
342887442508723,Convention of States,Convention of States Action,1180
171651620209487,Brady PAC,Brady Pac,1173
567371470277443,The Wilderness Society Action Fund,The Wilderness Society Action Fund,1172
113091103576321,Cheri Sudit for Hennepin County Commissioner,Sudit for County Commissioner,1171
50982313030,Food & Water Watch,Food & Water Watch,1168
5905048291,Science Museum of Minnesota,Science Museum of Minnesota,1167
47710973068,Cooperative Action Network,National Rural Electric Cooperatives Association,1167
103682110993833,Arctic Refuge Defense Campaign,Alaska Wilderness League,1162
101383508020332,Flexhealthplan,FlexHealthPlan,1154
508433235840691,Minnesota Bio-Fuels Association,"The Minnesota Bio-Fuels Association, Inc",1140
27670195475,Alliance for a Better Minnesota,Alliance for a Better Minnesota,1139
142992759853421,Be A Hero,BE A HERO PAC,1125
593289284500311,Trump Rack,BOXD Marketing,1113
191386378701,Karin Housley,Housley for Senate Committee,1109
914299901998647,Movimiento Cosecha,Movimiento Cosecha,1105
14440196673,Teamsters,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,1095
107761702578379,American Institute for Cancer Research - AICR,American Institute for Cancer Research,1091
1688725768007141,Michelle Caruso-Cabrera,CARUSO-CABRERA FOR NEW YORK,1081
19746387261,Humane Society International,Humane Society International,1079
1745691098822972,Brad Parscale,"DONALD J. TRUMP FOR PRESIDENT, INC.",1078
69983322463,Ted Cruz,TED CRUZ FOR SENATE,1076
110018833813683,Flip the Senate,SMP,1070
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,1070
103644036958,United Association,United Association Political Education Committee,1065
383677738397139,Association for Accessible Medicines,Association for Accessible Medicines,1059
101136147910784,Represent Justice,Represent Justice,1051
108047917519219,Voices from the Frontline,American Federation of Teachers,1050
101181794707874,United Research Group,United Research Group,1050
659326764416733,Solar Questions & Answers,Edward Hughes Kohler,1042
169597416843751,Stand Up America,Stand Up America,1039
2189265054726827,Liberty Tee Shop,www.libertyteeshop.com,1034
314311252514523,Congressman Pete Stauber,Congressman Pete Stauber,1016
107210084216238,Humanity Forward,Humanity Forward,1015
115499369778,Planned Parenthood North Central States,Planned Parenthood North Central States,1014
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,997
971668776283950,PolicyEd,Hoover Institution,990
166794757257,Minnesota Housing Partnership,MINNESOTA HOUSING PARTNERSHIP,985
24318354379,Minnesota Rural Electric Association,Minnesota Rural Electric Association,974
123192635089,GOP,REPUBLICAN NATIONAL COMMITTEE,953
23790541544,Democrats,DCCC,953
110627815623797,Minnesota Pork,Katelyn Ann Gradert,943
105246547735959,North Star Values,Senate Victory Fund,942
896987463676619,Minnesota Food HelpLine,HUNGER SOLUTIONS MINNESOTA,938
1610834479233860,Fight For Reform,End Citizens United Non-federal,932
28896772146,San Diego Zoo,ZOOLOGICAL SOCIETY OF SAN DIEGO,932
186932688457686,CHNGE,CHNGE,932
134452023239984,Human Coalition,Human Coalition,931
46347342434,EMILY's List,EMILY'S LIST,926
320172861434974,Freedom Club,Freedom Club,916
104745474214057,HRA - OTC Birth Control,Corey Francis Mc Govern,912
607626319739286,Black Voices for Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",904
1710424059239890,Max Rymer,Maxwell Richard Rymer,900
265268336865693,Do Amore,Do Amore Limited Company,896
110749446963570,Courier,Courier Newsroom,894
7192716362,Amnesty International USA,Amnesty International USA,893
709046012792616,National Audubon Society Action Fund,National Audubon Society Action Fund,891
116546288359245,Heritage Action for America,HERITAGE ACTION FOR AMERICA,890
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,887
1869687273277265,Run for Something,Run For Something PAC,885
117641114435,First Aid Beauty,First Aid Beauty,884
